ID,Stem_ID,Value_ID,Wordformpart_ID,Form_ID
yoti-lk-meat-pert-2-pert,oti-meat,pert,yoti-lk-meat-pert-2,
wejsape-cop-pfv-1-pfv,wej-cop,pfv,wejsape-cop-pfv-1,
yojte-fish-with-hook-ipfv-1-ipfv,yojte-fish-with-hook,ipfv,yojte-fish-with-hook-ipfv-1,
wejsaj-cop-pfv-1-pfv,wej-cop,pfv,wejsaj-cop-pfv-1,
ta-say-ipfv-1-ipfv,ta-say,ipfv,ta-say-ipfv-1,
mukuton-child-pl-1-pl,muku-child,pl,mukuton-child-pl-1,
yomiri-be-hungry-ipfv-1-ipfv,yomi-be-hungry,ipfv,yomiri-be-hungry-ipfv-1,
asamori-cry-ipfv-1-ipfv,asamo-cry,ipfv,asamori-cry-ipfv-1,
ijteri-3-go-ipfv-0-3,te-go,3,ijteri-3-go-ipfv-0,
ijteri-3-go-ipfv-2-ipfv,te-go,ipfv,ijteri-3-go-ipfv-2,
ipakuri-3-arrow-tip-pert-0-3,paku-arrow-tip,3,ipakuri-3-arrow-tip-pert-0,
ipakuri-3-arrow-tip-pert-2-pert,paku-arrow-tip,pert,ipakuri-3-arrow-tip-pert-2,
nepi-bring-ipfv-1-ipfv,nepi-bring,ipfv,nepi-bring-ipfv-1,
yakono-lk-younger-sister-of-woman-pert-2-pert,akono-younger-sister-of-woman,pert,yakono-lk-younger-sister-of-woman-pert-2,
ijmojkake-cook-imp-1-imp,ijmojka-cook,imp,ijmojkake-cook-imp-1,
i-put-ipfv-1-ipfv,i-put,ipfv,i-put-ipfv-1,
ijmojka-cook-ipfv-1-ipfv,ijmojka-cook,ipfv,ijmojka-cook-ipfv-1,
patajpe-axe-pst-1-pst,pata-axe,pst,patajpe-axe-pst-1,
tase-say-pst-1-pst,ta-say,pst,tase-say-pst-1,
mukutomo-child-pl-1-pl,muku-child,pl,mukutomo-child-pl-1,
asamo-cry-ipfv-1-ipfv,asamo-cry,ipfv,asamo-cry-ipfv-1,
tapeke-say-prog-tr-1-prog,ta-say,prog,tapeke-say-prog-tr-1,
yare-bring-ipfv-1-ipfv,yare-bring,ipfv,yare-bring-ipfv-1,
taturu-3p-give-ipfv-0-3,tu-give,3,taturu-3p-give-ipfv-0,
taturu-3p-give-ipfv-2-ipfv,tu-give,ipfv,taturu-3p-give-ipfv-2,
tujpe-give-pst-1-pst,tu-give,pst,tujpe-give-pst-1,
keyatajpe-grow-pst-1-pst,keyata-grow,pst,keyatajpe-grow-pst-1,
yeme-eat-fruits-eggs-soup-ipfv-1-ipfv,yeme-eat-fruits-eggs-soup,ipfv,yeme-eat-fruits-eggs-soup-ipfv-1,
yokiri-eat-starch-ipfv-1-ipfv,yoki-eat-starch,ipfv,yokiri-eat-starch-ipfv-1,
yeni-drink-ipfv-1-ipfv,yeni-drink-1,ipfv,yeni-drink-ipfv-1,
sepanse-get-married-pst-1-pst,sepan-get-married,pst,sepanse-get-married-pst-1,
keyatase-grow-pst-1-pst,keyata-grow,pst,keyatase-grow-pst-1,
tese-go-pst-1-pst,te-go,pst,tese-go-pst-1,
ijtese-3-go-pst-0-3,te-go,3,ijtese-3-go-pst-0,
ijtese-3-go-pst-2-pst,te-go,pst,ijtese-3-go-pst-2,
padrastro-stepfather-pert-1-pert,padrastro-stepfather,pert,padrastro-stepfather-pert-1,
keyamase-raise-pst-1-pst,keyama-raise,pst,keyamase-raise-pst-1,
tapaja-beat-neg-1-neg,tapa-beat,neg,tapaja-beat-neg-1,
takere-3-with-0-3,akere-with,3,takere-3-with-0,
yiwiti-lk-house-pert-2-pert,iwiti-house,pert,yiwiti-lk-house-pert-2,
yiwij-lk-house-pert-2-pert,iwij-house,pert,yiwij-lk-house-pert-2,
senejka-stay-ipfv-1-ipfv,senejka-stay,ipfv,senejka-stay-ipfv-1,
